Date,Load,Wind,Price
2012/1/1 7:00,36242.8571,9684,-0.03
2012/1/1 8:00,38530.7692,10580,12.09
2012/1/1 9:00,41438.4615,10796,12.24
2012/1/1 10:00,44803.2967,10497,18.62
2012/1/1 11:00,45465.9341,9398,21.04
2012/1/1 12:00,44959.3407,8755,17.43
2012/1/1 13:00,44590.1099,8017,12.14
2012/1/1 14:00,44906.5934,7679,12.89
2012/1/1 15:00,47841.7582,7266,18.7
2012/1/1 16:00,52390.1099,7754,33
2012/1/1 17:00,53756.044,8584,33.78
2012/1/1 18:00,52647.2527,9797,33.05
2012/1/1 19:00,50106.5934,11241,30.92
2012/1/1 20:00,48753.8462,13108,26.32
2012/1/1 21:00,47863.7363,15372,28.1
2012/1/1 22:00,43036.2637,15896,17.2
2012/1/1 23:00,38587.9121,15782,11.17
2012/1/2 0:00,35791.2088,15768,-0.01
2012/1/2 1:00,34927.4725,15160,-11.07
2012/1/2 2:00,35326.3736,14547,-5.03
2012/1/2 3:00,37330.7692,13156,-1.48
2012/1/2 4:00,41887.9121,11414,3.96
2012/1/2 5:00,48993.4066,9489,27.94
2012/1/2 6:00,56948.3516,7588,38.31
2012/1/2 7:00,61809.8901,5670,38.46
2012/1/2 8:00,64350.5495,4591,40.06
2012/1/2 9:00,67097.8022,4558,44.25
2012/1/2 10:00,68959.3407,4592,49.99
2012/1/2 11:00,69431.8681,5099,51.98
2012/1/2 12:00,68640.6593,5586,51.41
2012/1/2 13:00,67594.5055,5652,49.93
2012/1/2 14:00,67186.8132,6258,50.92
2012/1/2 15:00,68502.1978,6828,54.79
2012/1/2 16:00,71446.1538,6946,64.03
2012/1/2 17:00,70937.3626,7682,55.78
2012/1/2 18:00,69138.4615,8558,47.12
2012/1/2 19:00,64372.5275,9162,44.25
2012/1/2 20:00,61354.9451,9263,39.37
2012/1/2 21:00,59226.3736,9318,36.03
2012/1/2 22:00,53717.5824,10018,29.49
2012/1/2 23:00,50171.4286,10424,29
2012/1/3 0:00,47485.7143,10726,25.54
2012/1/3 1:00,46721.978,11296,21.8
2012/1/3 2:00,47132.967,11717,19.73
2012/1/3 3:00,48163.7363,13085,19.02
2012/1/3 4:00,50546.1538,14546,24.27
2012/1/3 5:00,55750.5495,16058,39.16
2012/1/3 6:00,62017.5824,17662,46.67
2012/1/3 7:00,65578.022,19277,53.1
2012/1/3 8:00,66995.6044,19984,51.87
2012/1/3 9:00,68781.3187,21242,44.34
2012/1/3 10:00,69916.4835,22179,41.84
2012/1/3 11:00,69553.8462,22916,39.59
2012/1/3 12:00,68384.6154,23427,38.04
2012/1/3 13:00,67263.7363,23759,35.78
2012/1/3 14:00,67138.4615,23837,35.12
2012/1/3 15:00,68837.3626,24022,36.79
2012/1/3 16:00,71457.1429,23637,41.55
2012/1/3 17:00,70876.9231,23616,46.76
2012/1/3 18:00,68640.6593,22743,42.47
2012/1/3 19:00,63718.6813,22157,35.17
2012/1/3 20:00,60491.2088,22061,28.62
2012/1/3 21:00,58587.9121,21855,28.44
2012/1/3 22:00,53414.2857,21093,15.96
2012/1/3 23:00,49297.8022,20573,5.01
2012/1/4 0:00,46723.0769,19994,0.05
2012/1/4 1:00,46036.2637,19372,0.04
2012/1/4 2:00,46578.022,18818,0.09
2012/1/4 3:00,48060.4396,18291,9.91
2012/1/4 4:00,50742.8571,18180,10.99
2012/1/4 5:00,56201.0989,18194,20.44
2012/1/4 6:00,63137.3626,18859,39.88
2012/1/4 7:00,66262.6374,18897,43.89
2012/1/4 8:00,67459.3407,19676,45.41
2012/1/4 9:00,68584.6154,20230,44.97
2012/1/4 10:00,70246.1538,21068,48.54
2012/1/4 11:00,70016.4835,21602,46.91
2012/1/4 12:00,68854.9451,21397,45
2012/1/4 13:00,67665.9341,21009,42.77
2012/1/4 14:00,66957.1429,20973,41.84
2012/1/4 15:00,68492.3077,20984,44.83
2012/1/4 16:00,72672.5275,21348,55.33
2012/1/4 17:00,72217.5824,21836,57.42
2012/1/4 18:00,70012.0879,22414,48.71
2012/1/4 19:00,65540.6593,23091,41.49
2012/1/4 20:00,61965.9341,23462,31.51
2012/1/4 21:00,60180.2198,23904,30.58
2012/1/4 22:00,54837.3626,23166,16.31
2012/1/4 23:00,50924.1758,23039,6.97
2012/1/5 0:00,48723.0769,22719,-0.07
2012/1/5 1:00,47776.9231,22828,-42.46
2012/1/5 2:00,47958.2418,23130,-50.57
2012/1/5 3:00,49283.5165,23266,-75.04
2012/1/5 4:00,51475.8242,23112,-5.98
2012/1/5 5:00,57030.7692,22744,16.88
2012/1/5 6:00,64186.8132,22680,37.39
2012/1/5 7:00,68296.7033,22066,37.19
2012/1/5 8:00,69939.5604,21611,39.96
2012/1/5 9:00,71175.8242,21200,40.53
2012/1/5 10:00,72725.2747,21250,40.35
2012/1/5 11:00,72825.2747,20762,40.91
2012/1/5 12:00,71820.8791,20393,39.92
2012/1/5 13:00,70526.3736,20195,39.26
2012/1/5 14:00,69598.9011,20300,38.69
2012/1/5 15:00,70400,20817,38.46
2012/1/5 16:00,73346.1538,21434,42.64
2012/1/5 17:00,72921.978,22180,47.61
2012/1/5 18:00,69731.8681,22245,42.07
2012/1/5 19:00,65659.3407,22744,40
2012/1/5 20:00,61901.0989,22383,31.26
2012/1/5 21:00,59824.1758,21712,29.56
2012/1/5 22:00,54872.5275,21267,12.87
2012/1/5 23:00,50809.8901,20813,14.88
2012/1/6 0:00,47807.6923,20007,11.72
2012/1/6 1:00,46597.8022,19430,6.29
2012/1/6 2:00,46801.0989,18418,10.19
2012/1/6 3:00,47861.5385,17592,10.98
2012/1/6 4:00,49287.9121,16192,15.82
2012/1/6 5:00,52951.6484,15918,20.07
2012/1/6 6:00,58141.7582,14644,36.55
2012/1/6 7:00,61610.989,13811,39
2012/1/6 8:00,63518.6813,12559,40.39
2012/1/6 9:00,65076.9231,10879,44.66
2012/1/6 10:00,66845.0549,10137,48.03
2012/1/6 11:00,66865.9341,10157,47.94
2012/1/6 12:00,65237.3626,9700,42.03
2012/1/6 13:00,63590.1099,9420,42.15
2012/1/6 14:00,62708.7912,8214,42.06
2012/1/6 15:00,64429.6703,7510,44.13
2012/1/6 16:00,68816.4835,6826,54.46
2012/1/6 17:00,68839.5604,6740,65.24
2012/1/6 18:00,66306.5934,7394,57.96
2012/1/6 19:00,62260.4396,8021,49.78
2012/1/6 20:00,59594.5055,9112,43
2012/1/6 21:00,58279.1209,10256,43.65
2012/1/6 22:00,54447.2527,11074,39.19
2012/1/6 23:00,51040.6593,12254,34.86
2012/1/7 0:00,48085.7143,12836,30.64
2012/1/7 1:00,46362.6374,13268,28.17
2012/1/7 2:00,45850.5495,13351,19.95
2012/1/7 3:00,46049.4505,13412,17.87
2012/1/7 4:00,45547.2527,13892,15.05
2012/1/7 5:00,45294.5055,14981,11.77
2012/1/7 6:00,48196.7033,15851,25.92
2012/1/7 7:00,52494.5055,16098,35.31
2012/1/7 8:00,56064.8352,16920,39.57
2012/1/7 9:00,58771.4286,17576,40.44
2012/1/7 10:00,60501.0989,17567,40.01
2012/1/7 11:00,59920.8791,17767,41.03
2012/1/7 12:00,58908.7912,17910,40.57
2012/1/7 13:00,57329.6703,17132,36.37
2012/1/7 14:00,57071.4286,16530,34.92
2012/1/7 15:00,59009.8901,16669,36.13
2012/1/7 16:00,62598.9011,15103,41.58
2012/1/7 17:00,62537.3626,14835,49.01
2012/1/7 18:00,60483.5165,14806,39.12
2012/1/7 19:00,56536.2637,14719,34.45
2012/1/7 20:00,54026.3736,14389,31.64
2012/1/7 21:00,53924.1758,14206,31.5
2012/1/7 22:00,50251.6484,14376,25.94
2012/1/7 23:00,46147.2527,14094,4.97
2012/1/8 0:00,43134.0659,13720,-0.02
2012/1/8 1:00,42058.2418,13454,0.01
2012/1/8 2:00,41519.7802,12971,4.93
2012/1/8 3:00,42124.1758,12630,9.95
2012/1/8 4:00,41791.2088,12029,3.82
2012/1/8 5:00,40484.6154,12265,-0.09
2012/1/8 6:00,42398.9011,12350,4.97
2012/1/8 7:00,45352.7473,12089,15.13
2012/1/8 8:00,49312.0879,11403,26.33
2012/1/8 9:00,52443.956,10708,33.74
2012/1/8 10:00,55698.9011,10214,38.05
2012/1/8 11:00,55852.7473,9985,39.24
2012/1/8 12:00,54154.9451,9736,35
2012/1/8 13:00,52824.1758,8690,33.29
2012/1/8 14:00,52497.8022,8093,33.27
2012/1/8 15:00,54138.4615,7511,37.44
2012/1/8 16:00,59093.4066,6806,46.03
2012/1/8 17:00,60410.989,6456,54.3
2012/1/8 18:00,59293.4066,6233,55.01
2012/1/8 19:00,56497.8022,5669,46.5
2012/1/8 20:00,55065.9341,5133,39.94
2012/1/8 21:00,55596.7033,4741,44.63
2012/1/8 22:00,52025.2747,4208,37.44
2012/1/8 23:00,48738.4615,3757,34.97
2012/1/9 0:00,46459.3407,3635,33.43
2012/1/9 1:00,45614.2857,3531,32.74
2012/1/9 2:00,46167.033,3353,32.46
2012/1/9 3:00,48049.4505,3054,32.5
2012/1/9 4:00,52301.0989,2787,36.13
2012/1/9 5:00,62156.044,2298,43.02
2012/1/9 6:00,70816.4835,2222,59.03
2012/1/9 7:00,74414.2857,2388,64.48
2012/1/9 8:00,74623.0769,2576,58.72
2012/1/9 9:00,75980.2198,2972,56.48
2012/1/9 10:00,77081.3187,3274,56.04
2012/1/9 11:00,76826.3736,4030,55.7
2012/1/9 12:00,76287.9121,4709,54.84
2012/1/9 13:00,75615.3846,5483,52.32
2012/1/9 14:00,75179.1209,6247,50.72
2012/1/9 15:00,75034.0659,7267,51.89
2012/1/9 16:00,77229.6703,8198,57.02
2012/1/9 17:00,76639.5604,9197,61.27
2012/1/9 18:00,74630.7692,10200,53.2
2012/1/9 19:00,70004.3956,11058,47.31
2012/1/9 20:00,65542.8571,12000,42
2012/1/9 21:00,61951.6484,13190,42.19
2012/1/9 22:00,56172.5275,13966,41.34
2012/1/9 23:00,51345.0549,14202,31.92
2012/1/10 0:00,48519.7802,14478,31.11
2012/1/10 1:00,47371.4286,13972,30.71
2012/1/10 2:00,47713.1868,13121,28.06
2012/1/10 3:00,49575.8242,12130,30.5
2012/1/10 4:00,53231.8681,11132,33.82
2012/1/10 5:00,61729.6703,9581,39.82
